timestamp_ns,message_id,mechanism,message_size,one_way_latency_ns,round_trip_latency_ns
1756406166266976758,0,Unix Domain Socket,2048,,359008
1756406166267281154,1,Unix Domain Socket,2048,,273749
1756406166267671785,2,Unix Domain Socket,2048,,380777
1756406166267925426,3,Unix Domain Socket,2048,,232532
1756406166268115906,4,Unix Domain Socket,2048,,176944
1756406166268242519,5,Unix Domain Socket,2048,,116421
1756406166268284813,6,Unix Domain Socket,2048,,32934
1756406166268314693,7,Unix Domain Socket,2048,,22191
1756406166268345281,8,Unix Domain Socket,2048,,21667
1756406166268374769,9,Unix Domain Socket,2048,,21663
1756406166268403933,10,Unix Domain Socket,2048,,21534
1756406166268433540,11,Unix Domain Socket,2048,,21864
1756406166268463101,12,Unix Domain Socket,2048,,21945
1756406166268502508,13,Unix Domain Socket,2048,,31844
1756406166268564596,14,Unix Domain Socket,2048,,53754
1756406166268668543,15,Unix Domain Socket,2048,,78281
1756406166268793965,16,Unix Domain Socket,2048,,114484
1756406166268960395,17,Unix Domain Socket,2048,,157700
1756406166269070064,18,Unix Domain Socket,2048,,100790
1756406166269247737,19,Unix Domain Socket,2048,,168938
1756406166269399289,20,Unix Domain Socket,2048,,142192
1756406166269431601,21,Unix Domain Socket,2048,,23669
1756406166269459126,22,Unix Domain Socket,2048,,19295
1756406166269498637,23,Unix Domain Socket,2048,,31351
1756406166269526527,24,Unix Domain Socket,2048,,19573
1756406166269556331,25,Unix Domain Socket,2048,,21618
1756406166269583561,26,Unix Domain Socket,2048,,19216
1756406166269609846,27,Unix Domain Socket,2048,,18147
1756406166269638960,28,Unix Domain Socket,2048,,21031
1756406166269668775,29,Unix Domain Socket,2048,,21747
1756406166269701737,30,Unix Domain Socket,2048,,24428
1756406166269731623,31,Unix Domain Socket,2048,,21672
1756406166269760037,32,Unix Domain Socket,2048,,20072
1756406166269793122,33,Unix Domain Socket,2048,,24775
1756406166269822300,34,Unix Domain Socket,2048,,21150
1756406166269857608,35,Unix Domain Socket,2048,,27261
1756406166269889324,36,Unix Domain Socket,2048,,23693
1756406166269919869,37,Unix Domain Socket,2048,,22331
1756406166269950922,38,Unix Domain Socket,2048,,23186
1756406166269977741,39,Unix Domain Socket,2048,,18190
1756406166270006110,40,Unix Domain Socket,2048,,20381
1756406166270032657,41,Unix Domain Socket,2048,,18575
1756406166270059303,42,Unix Domain Socket,2048,,18758
1756406166270087979,43,Unix Domain Socket,2048,,20683
1756406166270114424,44,Unix Domain Socket,2048,,18275
1756406166270145074,45,Unix Domain Socket,2048,,22597
1756406166270171107,46,Unix Domain Socket,2048,,18095
1756406166270203069,47,Unix Domain Socket,2048,,23757
1756406166270233534,48,Unix Domain Socket,2048,,22233
1756406166270262570,49,Unix Domain Socket,2048,,21065
1756406166270295351,50,Unix Domain Socket,2048,,24673
1756406166270324295,51,Unix Domain Socket,2048,,20829
1756406166270355391,52,Unix Domain Socket,2048,,22998
