timestamp_ns,message_id,mechanism,message_size,one_way_latency_ns,round_trip_latency_ns
1756407489307679317,116,Unix Domain Socket,65536,,189001
1756407489307881817,117,Unix Domain Socket,65536,,190728
1756407489308083954,118,Unix Domain Socket,65536,,189444
1756407489308292266,119,Unix Domain Socket,65536,,196268
1756407489308499371,120,Unix Domain Socket,65536,,194613
1756407489308710682,121,Unix Domain Socket,65536,,195162
1756407489308918985,122,Unix Domain Socket,65536,,191222
1756407489309123686,123,Unix Domain Socket,65536,,192443
1756407489309325341,124,Unix Domain Socket,65536,,188757
1756407489309538268,125,Unix Domain Socket,65536,,200690
1756407489309743981,126,Unix Domain Socket,65536,,192683
1756407489309953292,127,Unix Domain Socket,65536,,196440
1756407489310155587,128,Unix Domain Socket,65536,,189949
1756407489310361864,129,Unix Domain Socket,65536,,194444
1756407489310571759,130,Unix Domain Socket,65536,,197414
1756407489310774139,131,Unix Domain Socket,65536,,189162
1756407489310980961,132,Unix Domain Socket,65536,,194707
1756407489311194397,133,Unix Domain Socket,65536,,199466
1756407489311406741,134,Unix Domain Socket,65536,,200331
1756407489311613739,135,Unix Domain Socket,65536,,194360
1756407489311797715,136,Unix Domain Socket,65536,,171422
1756407489311981266,137,Unix Domain Socket,65536,,171040
1756407489312167703,138,Unix Domain Socket,65536,,173725
1756407489312353688,139,Unix Domain Socket,65536,,173012
1756407489312542636,140,Unix Domain Socket,65536,,176309
1756407489312729972,141,Unix Domain Socket,65536,,174522
1756407489312920423,142,Unix Domain Socket,65536,,177642
1756407489313111320,143,Unix Domain Socket,65536,,178368
1756407489313296802,144,Unix Domain Socket,65536,,173377
1756407489313491063,145,Unix Domain Socket,65536,,177160
1756407489313681830,146,Unix Domain Socket,65536,,177026
1756407489313865711,147,Unix Domain Socket,65536,,169961
1756407489314050339,148,Unix Domain Socket,65536,,172000
1756407489314234398,149,Unix Domain Socket,65536,,170777
1756407489314420684,150,Unix Domain Socket,65536,,174630
1756407489314622379,151,Unix Domain Socket,65536,,189110
1756407489314799054,152,Unix Domain Socket,65536,,163993
1756407489314971161,153,Unix Domain Socket,65536,,159345
1756407489315146029,154,Unix Domain Socket,65536,,162993
1756407489315330326,155,Unix Domain Socket,65536,,170991
1756407489315514130,156,Unix Domain Socket,65536,,166985
1756407489315690151,157,Unix Domain Socket,65536,,162250
1756407489315869022,158,Unix Domain Socket,65536,,166440
1756407489316039108,159,Unix Domain Socket,65536,,157638
1756407489316208902,160,Unix Domain Socket,65536,,156590
1756407489316380621,161,Unix Domain Socket,65536,,159124
1756407489316555694,162,Unix Domain Socket,65536,,161927
1756407489316744094,163,Unix Domain Socket,65536,,176068
1756407489316916137,164,Unix Domain Socket,65536,,159039
1756407489317092639,165,Unix Domain Socket,65536,,164635
